"","x"
"1",-0.795711585551284
"2",9.08322958302764
"3",9.84218561173801
"4",14.8074481879155
"5",13.0298332325071
"6",2.24463323322155
"7",7.26822631141463
"8",1.35612681158926
"9",10.6859279294295
"10",9.3361844039451
"11",14.4690005875413
"12",10.6025108324291
"13",1.58163394834669
"14",16.2015344181657
"15",6.20989803188664
"16",9.01638547541658
"17",3.19468148058454
"18",6.73184895578185
"19",3.45311235401039
"20",4.50343022527076
"21",13.8270365366861
"22",13.7127340933691
"23",15.2325718530221
"24",14.5020440863737
"25",20.3609046754614
"26",21.1065801697351
"27",18.7066855336894
"28",14.1901767167932
"29",16.1431777237347
"30",18.0709786795503
"31",22.3136905660939
"32",8.79022898690063
"33",18.7074536027424
"34",16.4988866156877
"35",17.9620847102586
"36",22.7270724355316
"37",10.6155733844177
"38",16.8779228829259
"39",26.6045956346661
"40",25.0694161545998
"41",24.2335479373837
"42",29.0294840030209
"43",26.5510417457998
"44",20.4888811136318
"45",28.9629781570611
"46",27.181095877664
"47",28.8110293971981
"48",27.831342038652
"49",20.9399521779704
"50",23.6272223465301
"51",31.7258809890707
"52",29.0186177709804
"53",36.8536703406713
"54",33.4047574193891
"55",26.3064110442205
"56",17.5224255794897
"57",30.614759700402
"58",27.4366980211031
"59",25.4304553840585
"60",30.4383933263247
"61",37.6385933631183
"62",29.0659862451231
"63",30.8541049631434
"64",29.8931225645836
"65",27.031463964085
"66",27.7258769804388
"67",33.0305609237815
"68",39.8838620187219
"69",25.1364950515541
"70",27.4949305609791
"71",34.3364142483498
"72",43.9303578932204
"73",41.6111915092426
"74",53.3178398275188
"75",50.7786173424041
"76",42.9569911133369
"77",39.8937696941276
"78",49.814937535746
"79",50.5995505792643
"80",50.4291562512279
"81",47.4951849724472
"82",46.9285889654525
"83",45.4520868095045
"84",57.8491439050748
"85",48.9468504995333
"86",51.3646007737469
"87",49.4479737967202
"88",64.2207152219363
"89",52.0687472984912
"90",58.5075229990839
"91",56.2327492415599
"92",53.1932101770182
"93",58.400560309629
"94",58.6823356769626
"95",57.8363358248546
"96",55.7395462123626
"97",62.9610703587631
"98",61.3305729547456
"99",62.1309053500567
"100",68.5904026415178
